ID,Name,Type,Tags,BaseValue,AuxValue,MultValue,MultType,TriggerCondition,Rarity,Price,MaxCopies,LevelScale,Weight_Early,Weight_Mid,Weight_Late,Enabled,Desc
SYM_F_001,어금니,Flesh,GEN|PERI,1,0,0,NONE,LINE_MATCH,Common,2,0,MULT2,30,16,8,TRUE,말초. 가장 흔하고 가장 싸다
SYM_F_002,뼈,Flesh,GEN|PERI,2,0,0,NONE,LINE_MATCH,Common,3,0,MULT2,20,14,8,TRUE,말초. 어금니보다 굵다
SYM_F_003,귀,Flesh,GEN|PERI,3,0,0,NONE,LINE_MATCH,Common,3,0,MULT2,10,12,8,TRUE,말초. 소리를 듣던 것
SYM_F_004,혀,Flesh,GEN|PERI,4,0,0,NONE,LINE_MATCH,Uncommon,4,0,MULT2,6,10,8,TRUE,말초 중 가장 값진 것
SYM_F_005,심장,Flesh,GEN|ORGAN,6,0,0,NONE,LINE_MATCH,Uncommon,6,0,MULT2,3,8,10,TRUE,장기. 크게 터진다
SYM_F_006,뇌,Flesh,GEN|ORGAN,9,0,0,NONE,LINE_MATCH,Rare,8,0,MULT2,1,4,8,TRUE,장기. 더 크게 터진다
SYM_F_007,폐,Flesh,GEN|ORGAN,13,0,0,NONE,LINE_MATCH,Rare,10,0,MULT2,0,2,6,TRUE,장기. 가장 크게 터진다
SYM_D_001,축전지,DeviceBadge,DEV,0,0,0.5,Add,BADGE:HIT_ONCE,Common,4,0,MULT2,8,8,8,TRUE,당첨 줄에 붙어 발동 시 레버 배율 +0.5x (레버당 1회)
SYM_D_002,변압기,DeviceBadge,DEV,0,0,1.3,LineMul,BADGE:PER_LINE,Uncommon,6,0,MULT2,4,6,8,TRUE,붙은 줄을 x1.3 — 위치 효과라 줄마다 적용
SYM_D_003,안테나,DeviceBadge,DEV,0,0.5,0.2,Add,BADGE:SET>=2,Uncommon,5,0,MULT2,3,5,7,TRUE,+0.2x · 같은 레버에 안테나 발동 2개+면 +0.5x
SYM_D_004,융합 코어,DeviceBadge,DEV,0,0,2.0,Mul,BADGE:IF_SUM>=12,Rare,12,0,ADD05,1,2,5,TRUE,폭발합 12W+ 이면 총 전력 x2 (레벨당 +0.5·레버당 1회)
SYM_D_005,소각로,DeviceBadge,DEV|EYE,0,0,0,NONE,BADGE:BURN_EYE_1,Uncommon,7,0,MULT2,2,5,7,TRUE,발동 시 눈 1개 소각 (주의: 눈꺼풀과 기능 중복 — 재설계 후보)
SYM_D_006,눈꺼풀,DeviceBadge,DEV|EYE,0,0,0,NONE,BADGE:CLOSE_EYE_LV,Uncommon,6,0,MULT2,2,4,6,TRUE,발동 시 눈을 레벨 수만큼 감긴다
SYM_D_007,분쇄기,DeviceBadge,DEV,0,2,0,NONE,BADGE:EAT_LOWEST,Rare,8,0,MULT2,1,3,5,TRUE,발동 시 풀 최저 문양 포식·이후 그 줄에 영구 +2W/스택
