Pool,ID,Reward_New,Cost_New,Original
NORMAL,d1,M1 영구 +1,다음 층 눈 +2,전력 배수 +1을 지금 준다. 대가: 다음 정차에서 판에 눈 +2가 심긴다.
NORMAL,d2,동승자 1명 즉시 하차(보상 없음),다음 층 목표 -30%,승객 하나를 지금 내려라 — 목적지가 아니어도· 인도가 아니라 동전도 없다. 대신 다음 정차 문턱 −30%.
NORMAL,d3,화물 적재(무게 3),N층 통과 시 회수·골드 보상 — [번역: 지정 층 도달 시 골드 회수],[동적 텍스트]
NORMAL,d4,골드 -2,다음 층 목표 -20%,동전 −2· 지금 낸다. 대신 다음 정차 문턱 −20%.
NORMAL,d5,골드 +2,다음 층 턴 -1,동전 +2를 지금 준다. 대가: 다음 정차의 레버 횟수 5→4.
NORMAL,d6,다음 층 운 +2,지금 눈 +1,다음 정차 동안 운 +2 — 운은 뽑힌 것들을 줄이 서는 자리에 앉혀 준다. 대가: 지금 판에 눈 +1.
NORMAL,d7,M1 영구 +0.5,다음 층 눈 +1,전력 배수 +0.5를 지금 준다. 대가: 다음 정차에서 판에 눈 +1이 심긴다.
NORMAL,d8,임시 동승자(무게2·다음층 하차·골드+2),무게 2,명부에 없는 자를 태워라. 무게 2. 다음 정차에서 알아서 내리며 동전 +2를 놓고 간다.
NORMAL,d9,최고 각인 심볼에 각인 +2,지금 눈 +1,네가 아끼는 줄이 어느 건지 안다 — 가장 깊이 새겨진 줄에 두 눈금 더 새겨 주지. 대가: 지금 판에 눈 +1.
NORMAL,d10,골드 전액 베팅,다음 턴 시너지 3+ 성립 시 2배·실패 시 몰수,[동적 텍스트]
WELL,w1,M1 영구 +1,무대가,종이 맑게 겹쳤다. 전력 배수 +1 — 대가 없음.
WELL,w2,골드 +6,무대가,종이 맑게 겹쳤다. 동전 +6 — 대가 없음.
WELL,w3,이번 층 운 +2,무대가,종이 맑게 겹쳤다. 손끝이 밝아진다 — 이번 정차 동안 운 +2· 대가 없음.
WELL,w4,다음 층 운 +3,무대가,종이 맑게 겹쳤다. 다음 정차 동안 운 +3 — 대가 없음.
GRAND,x1,총 전력 x1.4 영구,무대가,종루가 통째로 울렸다. 전력 배수 ×1.4 — 대가 없음.
GRAND,x2,모든 심볼 각인 +1 영구,무대가,종루가 통째로 울렸다. 판이 통째로 새겨진다 — 모든 스무 줄 새김 +1· 영구. 대가 없음.
GRAND,x3,골드 +12,무대가,종루가 통째로 울렸다. 동전 +12 — 대가 없음.
GRAND,x4,이월 상한 +15,무대가,종루가 통째로 울렸다. 상승 한계 +15층· 영구 — 대가 없음.
RED,r1,총 전력 x1.5 영구,지금 눈 +3,전력 배수 ×1.5. 대가: 지금 판에 눈 +3.
RED,r2,다음 층 목표 -50%,지금 눈 +4,다음 정차 문턱 −50%. 대가: 지금 판에 눈 +4.
RED,r3,골드 +4,지금 눈 +2,동전 +4. 대가: 지금 판에 눈 +2.
RED,r4,총 전력 x1.3 영구,이번+다음 층 턴 -1,전력 배수 ×1.3· 영구. 대가: 이번 층과 다음 층· 레버를 한 번씩 덜 준다.
DESCENT,u1,보드 눈 -2,다음 층 목표 +40%,판의 눈 −2· 지금 거둬 간다. 대가: 다음 층 문턱 +40%.
DESCENT,u2,M1 영구 +1,지금 눈 +2,전력 배수 +1. 대가: 지금 판에 눈 +2.
