ID,Name,Measured_At,EV_Lift,Win_Base,Win_With,Note
glaz,유리공,S7,2.35,2.2%,74.3%,워치리스트(고점)
mort,장의사,S5,2.2,92.8%,100%,워치리스트(고점)
insp,승강기 검사원,S7,1.38,2.2%,6.4%,
endr,7734행 수금원,S7,1.36,2.2%,7.1%,
metr,전력 검침원,S4,1.35,95.8%,99.7%,
pilg,눈먼 순례자,S7,1.28,2.2%,5.2%,
stok,소각로 화부,S7,1.23,2.2%,5.2%,
ngwd,야간 경비,S7,1.17,2.2%,3%,
wrck,해체공,S7,1.14,2.2%,2%,
bee,검은 벌의 양봉업자,S7,1.13,2.2%,2.5%,
plum,배관공,S7,1.11,2.2%,2.4%,
line,고압선 전공,S7,1.08,2.2%,2.2%,
swep,굴뚝 청소부,S10,1.08,0%,0%,
gamb,손가락 없는 도박사,S7,1,2.2%,0.7%,경제/일관성 가치 — 전력 시뮬 미반영
mend,수선공,S7,1,2.2%,1.1%,경제/일관성 가치 — 전력 시뮬 미반영
tail,재단사,S7,1,2.2%,1.8%,경제/일관성 가치 — 전력 시뮬 미반영
wnch,권양기 기사,S7,1,2.2%,0.5%,경제/일관성 가치 — 전력 시뮬 미반영
scri,필경사,S7,1,2.2%,1.8%,경제/일관성 가치 — 전력 시뮬 미반영
seal,인장 관리인,S7,1,2.2%,1.1%,경제/일관성 가치 — 전력 시뮬 미반영
quar,검역관,S2,1,100%,100%,경제/일관성 가치 — 전력 시뮬 미반영
mine,폐광의 광부,S3,1,100%,99.7%,경제/일관성 가치 — 전력 시뮬 미반영
clrk,명부 서기,S10,1,0%,0%,경제/일관성 가치 — 전력 시뮬 미반영
lamp,점등원,S7,0.93,2.2%,0.8%,경제/일관성 가치 — 전력 시뮬 미반영
