"ID","Name","Glyph","Tier","TargetSym","Cost","EffectType","EffectValue","StackRule","ShopW","SupplyDecay","Charges","Enabled","Desc"
"IT_C_001","어금니 주머니","🦷","Common","TOOTH","2","SYM_WEIGHT","x1.4","곱연산 무한","8","0.55","","TRUE","어금니 등장 가중 x1.4 (곱연산 스택)"
"IT_C_002","뼈 표본함","🦴","Common","BONE","2","SYM_WEIGHT","x1.4","곱연산 무한","8","0.55","","TRUE","뼈 등장 가중 x1.4 (곱연산 스택)"
"IT_C_003","귀 컬렉션","👂","Common","EAR","2","SYM_WEIGHT","x1.4","곱연산 무한","8","0.55","","TRUE","귀 등장 가중 x1.4 (곱연산 스택)"
"IT_C_004","혀 절임","👅","Common","TONGUE","3","SYM_WEIGHT","x1.4","곱연산 무한","8","0.55","","TRUE","혀 등장 가중 x1.4 (곱연산 스택)"
"IT_C_005","심장 방부액","🫀","Common","HEART","3","SYM_WEIGHT","x1.4","곱연산 무한","8","0.55","","TRUE","심장 등장 가중 x1.4 (곱연산 스택)"
"IT_C_006","뇌수 표본","🧠","Common","BRAIN","4","SYM_WEIGHT","x1.4","곱연산 무한","8","0.55","","TRUE","뇌 등장 가중 x1.4 (곱연산 스택)"
"IT_C_007","폐포 슬라이드","🫁","Common","LUNG","4","SYM_WEIGHT","x1.4","곱연산 무한","8","0.55","","TRUE","폐 등장 가중 x1.4 (곱연산 스택)"
"IT_C_008","구리 코일","🧵","Common","","3","M1_ADD","#ERROR!","합연산 무한","8","","","TRUE","레버 배율 +0.1x (합연산 스택)"
"IT_U_001","족제비 앞발","🐾","Unique","","5","LUCK_ADD","+2","유일 1개","2","","","TRUE","상시 운 +2 — 하나뿐이다"
"IT_U_002","증폭 결정","💎","Unique","","6","M1_ADD","#ERROR!","유일 1개","2","","","TRUE","레버 배율 +0.4x — 하나뿐이다"
"IT_U_003","기관사의 습관","🎩","Unique","","5","FREE_LEVER","1/정차","유일 1개","2","","","TRUE","정차마다 첫 레버를 +1 되감는다 (탱크 5 상한) — 하나뿐이다"
"IT_A_001","확률 반전기","🔀","Active","","4","SWAP_HILO","3레버","액티브 2칸·중복=업글(충전 상한 4)","4","","2","TRUE","발동: 3레버 동안 최고-최저 등장 문양 지분 교체 · 도착마다 충전 +1"
"IT_A_002","과부하 손잡이","🎚","Active","","3","TEMP_LUCK","+4","액티브 2칸·중복=업글(충전 상한 4)","4","","2","TRUE","발동: 다음 레버 운 +4 · 도착마다 충전 +1"
"IT_A_003","예비 레버 태엽","🕹","Active","","4","LEVER_CHARGE","+1","액티브 2칸·중복=업글(충전 상한 4)","4","","2","TRUE","발동: 레버 +1 충전 (탱크 5 미만일 때만) · 충전 2 · 도착마다 +1"
